time,ax,ay,az,aT
0.0180,-2.7253,-3.2078,-2.8335,5.074
0.0190,-2.7253,-3.2078,-2.8335,5.074
0.0190,-2.7253,-3.2078,-2.8335,5.074
0.0190,-2.7253,-3.2078,-2.8335,5.074
0.0200,-2.7253,-3.2078,-2.8335,5.074
0.0200,-2.7253,-3.2078,-2.8335,5.074
0.0200,-2.7253,-3.2078,-2.8335,5.074
0.0200,-2.7253,-3.2078,-2.8335,5.074
0.0410,-2.1446,-3.5104,-0.3379,4.128
0.0410,-2.1446,-3.5104,-0.3379,4.128
0.0420,-2.1446,-3.5104,-0.3379,4.128
0.0420,-2.1446,-3.5104,-0.3379,4.128
0.0470,-1.9869,-3.7645,0.0602,4.257
0.0480,-1.9188,-4.0190,0.4466,4.476
0.0610,-1.6286,-4.3317,1.4641,4.854
0.0610,-1.6286,-4.3317,1.4641,4.854
0.0790,-1.1931,-3.3259,1.6674,3.907
0.0800,-1.1931,-3.3259,1.6674,3.907
0.0800,-1.1931,-3.3259,1.6674,3.907
0.0810,-1.1740,-2.6557,1.5576,3.295
0.0940,-1.2111,-1.2422,1.2367,2.131
0.0940,-1.2111,-1.2422,1.2367,2.131
0.1110,-0.4639,0.1936,-0.8323,0.972
0.1110,-0.4639,0.1936,-0.8323,0.972
0.1110,-0.4639,0.1936,-0.8323,0.972
0.1110,-0.4639,0.1936,-0.8323,0.972
0.1280,1.1923,-0.5222,-0.4534,1.378
0.1290,1.5039,-0.7814,-0.8308,1.887
0.1290,1.5039,-0.7814,-0.8308,1.887
0.1300,1.5039,-0.7814,-0.8308,1.887
0.1440,2.2850,-0.8340,-1.7552,3.000
0.1450,2.2850,-0.8340,-1.7552,3.000
0.1610,2.2638,-0.7076,-2.2996,3.304
0.1620,2.1095,-0.6273,-2.5615,3.377
0.1620,2.1095,-0.6273,-2.5615,3.377
0.1630,2.1095,-0.6273,-2.5615,3.377
0.1780,1.6972,-0.1690,-3.4064,3.810
0.1780,1.6972,-0.1690,-3.4064,3.810
0.2040,0.9472,1.0206,-4.1859,4.411
0.2040,0.9472,1.0206,-4.1859,4.411
0.2040,0.9472,1.0206,-4.1859,4.411
0.2050,0.9472,1.0206,-4.1859,4.411
0.2050,0.9472,1.0206,-4.1859,4.411
0.2050,1.2202,1.3831,-3.8032,4.227
0.2110,1.7197,1.7594,-3.3239,4.135
0.2110,1.7197,1.7594,-3.3239,4.135
0.2280,4.2973,2.4947,-0.7701,5.028
0.2280,4.2973,2.4947,-0.7701,5.028
0.2450,16.6876,4.2995,10.2308,20.041
0.2460,16.6876,4.2995,10.2308,20.041
0.2460,16.6876,4.2995,10.2308,20.041
0.2460,16.6876,4.2995,10.2308,20.041
0.2610,11.8586,2.0569,6.6648,13.758
0.2620,11.8586,2.0569,6.6648,13.758
0.2620,11.8586,2.0569,6.6648,13.758
0.2780,3.5120,0.3186,3.8813,5.244
0.2790,3.5120,0.3186,3.8813,5.244
0.2790,3.5120,0.3186,3.8813,5.244
0.2970,-0.8873,-0.1899,0.7613,1.184
0.2970,-2.3299,-0.2772,0.0609,2.347
0.2980,-2.3299,-0.2772,0.0609,2.347
0.2980,-2.3299,-0.2772,0.0609,2.347
0.3110,-3.6622,-0.3370,-1.3004,3.901
0.3110,-3.3998,-0.2551,-2.0218,3.964
0.3290,-1.9801,-0.2260,-3.0547,3.647
0.3290,-1.9801,-0.2260,-3.0547,3.647
0.3300,-1.9801,-0.2260,-3.0547,3.647
0.3300,-1.9801,-0.2260,-3.0547,3.647
0.3450,-0.6384,-0.6126,-1.7281,1.941
0.3450,0.9057,-1.7175,1.0780,2.221
0.3450,0.9057,-1.7175,1.0780,2.221
0.3620,1.7127,-2.3692,0.5884,2.982
0.3620,1.7127,-2.3692,0.5884,2.982
0.3620,1.7127,-2.3692,0.5884,2.982
0.3780,-0.5818,0.0266,2.9472,3.004
0.3790,-1.0417,0.3440,3.2381,3.419
0.3790,-1.0417,0.3440,3.2381,3.419
0.3800,-1.0417,0.3440,3.2381,3.419
0.3980,-1.7843,-0.2063,2.8806,3.395
0.3980,-1.7843,-0.2063,2.8806,3.395
0.3990,-1.5415,-0.4212,2.1838,2.706
0.3990,-1.5415,-0.4212,2.1838,2.706
0.4110,-0.5892,-0.5015,0.4645,0.902
0.4110,-0.5892,-0.5015,0.4645,0.902
0.4280,0.6664,-0.3263,-1.3542,1.544
0.4290,0.6664,-0.3263,-1.3542,1.544
0.4290,0.6664,-0.3263,-1.3542,1.544
0.4290,0.6664,-0.3263,-1.3542,1.544
0.4440,0.0972,0.1708,-1.1960,1.212
0.4440,0.0972,0.1708,-1.1960,1.212
0.4610,-0.6716,0.3091,-0.7711,1.068
0.4610,-0.6716,0.3091,-0.7711,1.068
0.4610,-0.6716,0.3091,-0.7711,1.068
0.4620,-0.6716,0.3091,-0.7711,1.068
0.4780,-0.6920,-0.2193,0.1117,0.734
0.4780,-0.6920,-0.2193,0.1117,0.734
0.4780,-0.6920,-0.2193,0.1117,0.734
0.4970,-0.8522,-0.4591,1.1172,1.478
0.4970,-0.8522,-0.4591,1.1172,1.478
0.5000,-0.9603,-0.4569,1.2348,1.630
0.5010,-0.9603,-0.4569,1.2348,1.630
0.5120,-1.1109,-0.4112,1.2109,1.694
0.5120,-1.1109,-0.4112,1.2109,1.694
0.5120,-1.1109,-0.4112,1.2109,1.694
0.5280,-0.9220,-0.3218,0.6134,1.153
0.5280,-0.9220,-0.3218,0.6134,1.153
0.5280,-0.8250,-0.2684,0.4150,0.962
0.5450,-0.6277,-0.1395,-0.0647,0.646
0.5460,-0.6277,-0.1395,-0.0647,0.646
0.5460,-0.6277,-0.1395,-0.0647,0.646
0.5610,-0.7894,-0.1182,-0.3702,0.880
0.5620,-0.9036,-0.1396,-0.3635,0.984
0.5620,-0.9036,-0.1396,-0.3635,0.984
0.5790,-1.1491,-0.1453,-0.1766,1.172
0.5790,-1.1491,-0.1453,-0.1766,1.172
0.5790,-1.1491,-0.1453,-0.1766,1.172
0.6000,-1.3568,-0.1822,0.2531,1.392
0.6010,-1.3435,-0.1769,0.2931,1.386
0.6010,-1.3435,-0.1769,0.2931,1.386
0.6180,-1.2370,-0.1252,0.3915,1.303
0.6210,-1.1816,-0.1001,0.4161,1.257
0.6210,-1.1816,-0.1001,0.4161,1.257
0.6210,-1.1816,-0.1001,0.4161,1.257
0.6210,-1.1816,-0.1001,0.4161,1.257
0.6290,-1.1319,-0.0756,0.4241,1.211
0.6290,-1.0851,-0.0587,0.4346,1.170
0.6460,-0.9804,-0.0501,0.4493,1.080
0.6460,-0.9804,-0.0501,0.4493,1.080
0.6460,-0.9804,-0.0501,0.4493,1.080
0.6630,-0.8901,-0.0592,0.3543,0.960
0.6630,-0.8735,-0.0524,0.3031,0.926
0.6630,-0.8735,-0.0524,0.3031,0.926
0.6800,-0.8903,-0.0616,0.2087,0.917
0.6810,-0.8903,-0.0616,0.2087,0.917
0.6810,-0.8903,-0.0616,0.2087,0.917
0.6810,-0.8903,-0.0616,0.2087,0.917
0.7000,-0.9640,-0.1128,0.1473,0.982
0.7010,-0.9640,-0.1128,0.1473,0.982
0.7010,-0.9640,-0.1128,0.1473,0.982
0.7010,-0.9640,-0.1128,0.1473,0.982
0.7180,-0.8130,-0.0848,0.2157,0.845
0.7190,-0.8130,-0.0848,0.2157,0.845
0.7190,-0.8130,-0.0848,0.2157,0.845
0.7300,-0.8004,-0.0642,0.1672,0.820
0.7310,-0.7981,-0.0644,0.1329,0.812
0.7310,-0.7981,-0.0644,0.1329,0.812
0.7480,-0.7449,-0.0888,0.1099,0.758
0.7480,-0.7449,-0.0888,0.1099,0.758
0.7650,-0.5216,-0.0543,0.0698,0.529
0.7660,-0.5216,-0.0543,0.0698,0.529
0.7660,-0.5216,-0.0543,0.0698,0.529
0.7670,-0.5216,-0.0543,0.0698,0.529
0.7810,-0.5255,-0.0962,-0.0034,0.534
0.7820,-0.5255,-0.0962,-0.0034,0.534
0.8020,-0.4943,-0.1464,0.0400,0.517
0.8020,-0.4943,-0.1464,0.0400,0.517
0.8030,-0.4854,-0.1375,0.0446,0.506
0.8030,-0.4854,-0.1375,0.0446,0.506
0.8190,-0.4773,-0.0819,0.0046,0.484
0.8200,-0.4773,-0.0819,0.0046,0.484
0.8200,-0.4773,-0.0819,0.0046,0.484
0.8200,-0.4773,-0.0819,0.0046,0.484
0.8300,-0.5452,-0.0711,0.0254,0.550
0.8300,-0.5452,-0.0711,0.0254,0.550
0.8480,-0.4083,-0.1161,0.0978,0.436
0.8480,-0.4083,-0.1161,0.0978,0.436
0.8490,-0.4083,-0.1161,0.0978,0.436
0.8640,-0.3076,-0.0936,0.2101,0.384
0.8640,-0.3076,-0.0936,0.2101,0.384
0.8650,-0.3076,-0.0936,0.2101,0.384
0.8820,-0.5773,0.0099,0.3880,0.696
0.8820,-0.5773,0.0099,0.3880,0.696
0.8830,-0.5773,0.0099,0.3880,0.696
0.8830,-0.5773,0.0099,0.3880,0.696
0.9040,-0.6750,0.2348,0.0816,0.719
0.9050,-0.6190,0.2804,-0.0250,0.680
0.9050,-0.6190,0.2804,-0.0250,0.680
0.9050,-0.6190,0.2804,-0.0250,0.680
0.9220,-0.2398,0.5246,-0.2787,0.641
0.9230,-0.0675,0.6225,-0.3211,0.704
0.9310,0.1109,0.7286,-0.3477,0.815
0.9310,0.1109,0.7286,-0.3477,0.815
0.9470,0.5168,0.9535,-0.3401,1.137
0.9480,0.9251,1.1485,-0.3515,1.516
0.9480,0.9251,1.1485,-0.3515,1.516
0.9490,0.9251,1.1485,-0.3515,1.516
0.9650,1.4512,1.2744,-0.5139,1.999
0.9660,1.6223,1.2872,-0.6254,2.163
0.9820,1.9650,1.3439,-0.8275,2.520
0.9820,2.1239,1.3786,-0.9512,2.705
0.9830,2.1239,1.3786,-0.9512,2.705
0.9830,2.1239,1.3786,-0.9512,2.705
1.0030,2.6251,1.3653,-1.1548,3.176
1.0040,2.6251,1.3653,-1.1548,3.176
1.0040,2.6251,1.3653,-1.1548,3.176
1.0050,2.6251,1.3653,-1.1548,3.176
1.0180,2.8065,1.0435,-0.8573,3.114
1.0180,2.8065,1.0435,-0.8573,3.114
1.0310,2.7287,0.7132,-0.3880,2.847
1.0320,2.7287,0.7132,-0.3880,2.847
1.0480,2.4833,0.4617,0.1350,2.529
1.0490,2.3738,0.3948,0.2305,2.417
1.0490,2.3738,0.3948,0.2305,2.417
1.0490,2.3738,0.3948,0.2305,2.417
1.0660,2.1385,0.4002,0.2692,2.192
1.0660,2.1385,0.4002,0.2692,2.192
1.0670,2.1385,0.4002,0.2692,2.192
1.0670,2.1385,0.4002,0.2692,2.192
1.0820,1.6983,0.6949,-0.1250,1.839
1.0830,1.6983,0.6949,-0.1250,1.839
1.1040,1.5321,0.4551,-0.3182,1.630
1.1050,1.5321,0.4551,-0.3182,1.630
1.1050,1.5321,0.4551,-0.3182,1.630
1.1050,1.5321,0.4551,-0.3182,1.630
1.1180,1.4356,0.0123,-0.3191,1.471
1.1190,1.4356,0.0123,-0.3191,1.471
1.1190,1.4356,0.0123,-0.3191,1.471
1.1190,1.4356,0.0123,-0.3191,1.471
1.1320,1.2249,-0.5858,-0.0036,1.358
1.1480,0.4327,-1.1056,0.7114,1.384
1.1510,-0.0035,-1.2128,1.0094,1.578
1.1520,-0.0035,-1.2128,1.0094,1.578
1.1520,-0.0035,-1.2128,1.0094,1.578
1.1530,-0.0035,-1.2128,1.0094,1.578
1.1650,-1.4610,-1.3219,1.8533,2.705
1.1650,-1.4610,-1.3219,1.8533,2.705
1.1830,-2.1931,-1.3095,2.1158,3.317
1.1840,-2.4286,-1.2939,2.0641,3.440
1.1840,-2.4286,-1.2939,2.0641,3.440
1.1980,-2.4516,-1.1205,1.2343,2.965
1.1980,-2.2605,-0.9940,0.9369,2.641
1.1990,-2.2605,-0.9940,0.9369,2.641
1.2150,-1.2797,-0.5853,0.2320,1.426
1.2150,-1.2797,-0.5853,0.2320,1.426
1.2160,-1.2797,-0.5853,0.2320,1.426
1.2310,-0.0814,-0.3244,0.0687,0.341
1.2320,-0.0814,-0.3244,0.0687,0.341
1.2320,-0.0814,-0.3244,0.0687,0.341
1.2490,0.4178,-0.1778,-0.0052,0.454
1.2490,0.4178,-0.1778,-0.0052,0.454
1.2500,0.4178,-0.1778,-0.0052,0.454
1.2500,0.5079,-0.1568,-0.0447,0.533
1.2640,0.6173,-0.1190,-0.1420,0.645
1.2640,0.6173,-0.1190,-0.1420,0.645
1.2820,0.6113,0.0273,-0.3805,0.721
1.2820,0.6113,0.0273,-0.3805,0.721
