time,ax,ay,az,aT
0.0080,-0.5345,0.3840,-0.9620,1.166
0.0080,-0.5345,0.3840,-0.9620,1.166
0.0100,-0.5034,0.0967,-1.4021,1.493
0.0200,-0.2082,-0.1986,-2.1955,2.214
0.0340,0.3265,0.0740,-2.4374,2.460
0.0510,1.1381,-0.0970,-2.4806,2.731
0.0530,1.4670,-0.3780,-2.3440,2.791
0.0680,2.4152,-1.0141,-0.8614,2.757
0.0680,2.4152,-1.0141,-0.8614,2.757
0.0850,3.2621,-1.1515,1.4999,3.771
0.1030,3.8939,-2.4797,2.0786,5.063
0.1030,3.8939,-2.4797,2.0786,5.063
0.1180,3.1128,-3.1524,2.3519,5.016
0.1190,3.1128,-3.1524,2.3519,5.016
0.1350,2.9878,-3.4228,3.5757,5.782
0.1520,3.6482,-4.2124,3.2732,6.463
0.1520,3.6482,-4.2124,3.2732,6.463
0.1680,4.0604,-5.1626,1.6091,6.762
0.1850,3.5144,-5.5349,-0.4050,6.569
0.1850,3.5144,-5.5349,-0.4050,6.569
0.2010,0.6803,-5.4188,-1.2109,5.594
0.2020,0.6803,-5.4188,-1.2109,5.594
0.2180,-0.3607,-5.0941,-1.3952,5.294
0.2340,1.3759,-3.9711,0.0851,4.204
0.2350,1.8099,-3.2833,1.4233,4.010
0.2510,1.4875,-1.0042,3.3151,3.770
0.2520,1.4875,-1.0042,3.3151,3.770
0.2690,1.0798,0.2884,5.0438,5.166
0.2850,2.1913,0.5054,2.1977,3.144
0.2860,2.1913,0.5054,2.1977,3.144
0.3010,2.4321,-0.4989,2.5689,3.573
0.3200,-0.5194,-2.0614,-4.9958,5.429
0.3210,-0.5194,-2.0614,-4.9958,5.429
0.3350,-2.7636,-1.5921,-9.6747,10.187
0.3360,-2.1537,-1.7228,-6.8765,7.409
0.3520,0.5353,-2.0355,0.4322,2.149
0.3680,1.9744,-1.6644,0.8285,2.712
0.3690,1.9744,-1.6644,0.8285,2.712
0.3850,0.2277,-0.1293,-3.9166,3.925
0.3860,0.2277,-0.1293,-3.9166,3.925
0.4040,0.1729,0.1578,-2.9515,2.961
0.4180,-0.1460,-2.5015,-3.4645,4.276
0.4190,-0.1460,-2.5015,-3.4645,4.276
0.4360,-0.8229,-4.2215,0.1770,4.305
0.4360,-0.8229,-4.2215,0.1770,4.305
0.4530,-1.6065,-5.1407,1.3718,5.558
0.4690,-1.7416,-5.7913,-2.8619,6.691
0.4690,-1.7416,-5.7913,-2.8619,6.691
0.4870,-1.1119,-3.6692,-7.3638,8.302
0.5050,-0.8093,-3.3044,-8.0143,8.706
0.5060,-0.6228,-3.3504,-7.7907,8.503
0.5200,-0.9622,-3.4928,-7.9568,8.743
0.5370,-1.3965,-3.6508,-7.9880,8.893
0.5380,-1.6421,-3.7333,-7.9973,8.977
0.5550,-1.8772,-3.5168,-6.9927,8.049
0.5560,-1.8772,-3.5168,-6.9927,8.049
0.5700,-0.8806,-1.8019,-3.7097,4.217
