time,ax,ay,az,aT
0.0030,0.2709,0.3952,-2.5195,2.565
0.0090,0.2122,0.1471,-2.5046,2.518
0.0090,0.2122,0.1471,-2.5046,2.518
0.0100,0.2122,0.1471,-2.5046,2.518
0.0100,0.0908,-0.0764,-2.3637,2.367
0.0270,-0.5097,-0.6013,-2.0372,2.184
0.0280,-0.5097,-0.6013,-2.0372,2.184
0.0280,-0.5097,-0.6013,-2.0372,2.184
0.0410,-0.6688,-0.5381,-2.3276,2.481
0.0410,-0.6688,-0.5381,-2.3276,2.481
0.0410,-0.6688,-0.5381,-2.3276,2.481
0.0590,0.0777,-0.3858,-2.4497,2.481
0.0590,0.0777,-0.3858,-2.4497,2.481
0.0600,0.0777,-0.3858,-2.4497,2.481
0.0810,0.9059,-0.1866,1.2588,1.562
0.0820,0.9059,-0.1866,1.2588,1.562
0.0820,0.9059,-0.1866,1.2588,1.562
0.0820,0.9059,-0.1866,1.2588,1.562
0.0830,1.1639,0.1148,1.6813,2.048
0.0920,1.1988,0.3136,2.0149,2.365
0.0920,1.1988,0.3136,2.0149,2.365
0.1080,0.6676,0.3042,1.1410,1.356
0.1080,0.6676,0.3042,1.1410,1.356
0.1250,0.6309,-0.5649,-0.1658,0.863
0.1250,0.7715,-1.0070,-0.2549,1.294
0.1260,0.7715,-1.0070,-0.2549,1.294
0.1260,0.7715,-1.0070,-0.2549,1.294
0.1420,0.7478,-2.2175,2.1187,3.157
0.1430,0.7478,-2.2175,2.1187,3.157
0.1430,0.7478,-2.2175,2.1187,3.157
0.1430,0.7478,-2.2175,2.1187,3.157
0.1650,0.5290,-3.9314,0.4075,3.988
0.1660,0.5290,-3.9314,0.4075,3.988
0.1660,0.5290,-3.9314,0.4075,3.988
0.1660,0.5290,-3.9314,0.4075,3.988
0.1740,0.6362,-3.9870,0.2004,4.042
0.1750,0.6362,-3.9870,0.2004,4.042
0.1910,1.1702,-3.4655,0.6752,3.720
0.1910,1.1702,-3.4655,0.6752,3.720
0.2070,0.5326,-3.2836,-0.8044,3.422
0.2080,0.5326,-3.2836,-0.8044,3.422
0.2080,0.5326,-3.2836,-0.8044,3.422
