time,ax,ay,az,aT
0.0100,-2.6550,-0.0811,-2.6164,3.728
0.0130,-2.6550,-0.0811,-2.6164,3.728
0.0150,-2.6403,0.1908,-2.4686,3.620
0.0230,-2.5059,0.5706,-2.2282,3.401
0.0370,-1.8675,1.6179,-1.3270,2.805
0.0540,-2.4370,1.1657,-0.7476,2.803
0.0560,-2.4370,1.1657,-0.7476,2.803
0.0710,-1.8421,1.3047,-0.6439,2.347
0.0720,-1.8421,1.3047,-0.6439,2.347
0.0890,-1.6731,0.5007,0.0015,1.746
0.0890,-1.6731,0.5007,0.0015,1.746
0.1040,-1.3281,0.4790,0.0440,1.413
0.1210,-1.9277,-0.1953,-1.1212,2.239
0.1220,-1.9277,-0.1953,-1.1212,2.239
0.1380,-1.5276,0.0925,-0.3937,1.580
0.1540,-1.5924,-0.4018,-0.5971,1.748
0.1540,-1.5924,-0.4018,-0.5971,1.748
0.1710,-1.9186,-0.3055,0.3791,1.979
0.1710,-1.9186,-0.3055,0.3791,1.979
0.1890,-1.9640,0.9099,0.9632,2.369
0.2040,-1.7196,1.5228,1.0534,2.527
0.2050,-1.7196,1.5228,1.0534,2.527
0.2210,-1.5677,1.3157,1.3521,2.453
0.2220,-1.6168,1.0691,1.3128,2.341
0.2370,-2.1220,0.3712,1.6059,2.687
0.2540,-2.3199,-0.1169,1.6362,2.841
0.2550,-2.0883,-0.1930,1.5466,2.606
0.2710,-1.0021,-0.2428,1.6686,1.961
0.2900,-0.3676,0.0828,1.7613,1.801
0.2900,-0.3676,0.0828,1.7613,1.801
0.3040,-0.2893,0.0273,1.5940,1.620
0.3050,-0.2893,0.0273,1.5940,1.620
0.3210,-0.1458,0.1782,1.3051,1.325
0.3380,0.1750,1.0591,1.4267,1.785
0.3380,0.1750,1.0591,1.4267,1.785
0.3540,0.8181,1.7800,1.7441,2.623
0.3540,0.8181,1.7800,1.7441,2.623
0.3730,1.1232,1.5069,1.9492,2.708
0.3870,0.9081,1.0074,1.9691,2.391
0.3880,0.9081,1.0074,1.9691,2.391
0.4040,0.3588,-0.1752,1.9754,2.015
0.4220,-0.0511,-0.6817,2.0892,2.198
0.4230,0.0132,-0.6941,1.9992,2.116
0.4370,0.3944,-0.6073,1.5739,1.732
0.4390,0.6085,-0.5936,1.1834,1.457
0.4550,0.9354,-0.2750,0.0637,0.977
0.4730,0.5077,-0.0598,-1.1031,1.216
0.4750,0.5077,-0.0598,-1.1031,1.216
0.4880,0.3437,0.0945,-1.0450,1.104
0.5060,0.3179,0.0960,-3.8188,3.833
0.5060,0.3179,0.0960,-3.8188,3.833
0.5230,0.2092,0.2194,-1.8290,1.854
0.5230,0.2092,0.2194,-1.8290,1.854
0.5380,-0.5396,-1.1154,-1.3304,1.818
0.5550,-0.7332,-1.9287,-0.7298,2.189
0.5560,-0.7332,-1.9287,-0.7298,2.189
0.5730,1.7120,1.5992,-4.4348,5.016
0.5880,0.7102,1.3547,-2.9931,3.361
0.5880,0.7102,1.3547,-2.9931,3.361
0.6040,-0.2763,0.8500,-2.2349,2.407
0.6040,-0.2763,0.8500,-2.2349,2.407
0.6200,-1.2171,1.6127,-3.0606,3.667
0.6370,-2.7203,-0.6480,-4.3105,5.138
0.6370,-2.7203,-0.6480,-4.3105,5.138
0.6540,-2.2226,-1.6738,0.9890,2.953
0.6720,-0.6695,-0.8651,4.2649,4.403
0.6720,-0.6695,-0.8651,4.2649,4.403
0.6870,0.0631,0.7653,3.4687,3.553
0.6870,0.0631,0.7653,3.4687,3.553
0.7030,0.1445,2.3690,0.3526,2.399
0.7220,-0.4907,2.8864,-1.0925,3.125
0.7230,-0.4907,2.8864,-1.0925,3.125
0.7370,-0.4510,3.1614,-1.5250,3.539
0.7540,-1.1463,3.2616,-0.9886,3.596
0.7540,-1.1463,3.2616,-0.9886,3.596
0.7710,-1.9167,2.3284,-0.1418,3.019
0.7710,-1.9167,2.3284,-0.1418,3.019
0.7900,-1.5784,0.9362,2.0072,2.720
0.7900,-1.5784,0.9362,2.0072,2.720
0.8060,-1.3461,0.6989,2.4985,2.923
0.8200,-1.1166,1.0297,2.4394,2.874
0.8210,-1.1166,1.0297,2.4394,2.874
0.8370,-1.1362,1.3011,1.9242,2.586
0.8540,-1.2838,1.1013,1.7076,2.403
0.8540,-1.2838,1.1013,1.7076,2.403
0.8710,-1.3674,0.5347,1.9973,2.479
0.8710,-1.3674,0.5347,1.9973,2.479
0.8880,-1.7795,-0.7717,4.5078,4.907
0.9040,-2.0778,-1.8370,7.0888,7.612
0.9040,-1.9711,-1.8483,7.3666,7.847
0.9200,-1.3399,-1.0503,6.4257,6.647
0.9370,-1.1649,-0.0898,4.3173,4.473
0.9370,-1.1649,-0.0898,4.3173,4.473
0.9540,-2.2011,0.6149,1.3921,2.676
0.9540,-2.2011,0.6149,1.3921,2.676
