time,ax,ay,az,aT
0.0090,-0.0128,0.9156,0.7524,1.185
0.0170,0.1209,0.2533,1.2895,1.320
0.0170,0.1209,0.2533,1.2895,1.320
0.0340,0.8333,-0.4112,3.1466,3.281
0.0350,0.8333,-0.4112,3.1466,3.281
0.0430,1.0481,-0.5604,3.3854,3.588
0.0590,1.4304,-1.1524,3.6033,4.044
0.0760,1.8407,-1.0852,2.3582,3.182
0.0770,1.8407,-1.0852,2.3582,3.182
0.0930,2.0342,-0.9844,1.2672,2.591
0.1090,2.2782,-0.8673,0.5642,2.502
0.1100,2.2782,-0.8673,0.5642,2.502
0.1270,2.4639,-1.0630,-0.5132,2.732
0.1270,2.4639,-1.0630,-0.5132,2.732
0.1430,2.4794,-1.1231,-1.1352,2.949
0.1590,2.5030,-0.9577,-1.6972,3.172
0.1590,2.5030,-0.9577,-1.6972,3.172
0.1750,2.2027,-1.1217,-1.8419,3.083
0.1920,2.2286,-0.8223,-1.8098,2.986
0.1930,2.1568,-0.8381,-1.7794,2.919
0.2080,2.1362,-1.2979,-1.6788,3.011
0.2080,2.1362,-1.2979,-1.6788,3.011
0.2270,2.0635,-1.5618,-2.0990,3.332
0.2270,2.0635,-1.5618,-2.0990,3.332
0.2420,2.4772,-1.9160,-2.5268,4.024
0.2600,0.5735,-1.8252,-4.1631,4.582
0.2600,0.5735,-1.8252,-4.1631,4.582
0.2760,1.3313,-1.1758,-5.6340,5.907
0.2920,0.9931,-1.6444,-0.5210,1.990
0.2930,0.9848,-1.7420,-0.0246,2.001
0.3090,0.9312,-1.7277,-0.2213,1.975
0.3090,0.9312,-1.7277,-0.2213,1.975
0.3270,0.6495,-0.9458,-0.1415,1.156
0.3420,0.1054,-0.9155,-0.6768,1.143
0.3420,0.1054,-0.9155,-0.6768,1.143
0.3590,-0.4237,-1.1445,-3.7666,3.959
0.3600,-0.4237,-1.1445,-3.7666,3.959
0.3760,-0.9718,-1.0058,-4.1431,4.373
0.3930,-0.7155,-0.4773,-4.5276,4.609
0.3940,-0.7155,-0.4773,-4.5276,4.609
0.4090,0.0471,0.3335,-2.4092,2.433
0.4290,1.3808,0.8837,-0.3959,1.686
0.4290,1.3808,0.8837,-0.3959,1.686
0.4420,1.8255,1.0881,0.5198,2.188
0.4430,2.0152,1.1788,0.6244,2.417
0.4590,2.4598,1.5003,0.3155,2.898
0.4760,2.6785,1.7577,-1.0994,3.387
0.4770,2.6785,1.7577,-1.0994,3.387
0.4930,2.7194,1.0784,-1.4151,3.250
0.4930,2.7194,1.0784,-1.4151,3.250
0.5100,3.6992,-0.6400,-3.0063,4.810
0.5280,1.8813,-2.2394,-9.5929,10.029
0.5290,1.8813,-2.2394,-9.5929,10.029
0.5440,1.8850,-3.7738,-6.4055,7.670
0.5600,5.0207,-3.6721,-3.4586,7.117
0.5600,5.0207,-3.6721,-3.4586,7.117
0.5770,7.1546,-2.3882,-1.9364,7.787
0.5930,8.6749,-1.8355,-2.6146,9.244
0.5930,8.6749,-1.8355,-2.6146,9.244
0.6100,7.0761,-3.3805,-2.9891,8.392
0.6100,7.0761,-3.3805,-2.9891,8.392
0.6290,2.6357,-6.0379,-4.5295,7.995
0.6440,0.5559,-7.6272,-4.4549,8.850
0.6450,-0.0461,-8.0801,-4.0132,9.022
0.6610,-1.6300,-10.1151,-3.4716,10.818
0.6770,-2.3421,-12.8100,-3.2430,13.420
0.6780,-2.3612,-13.2862,-1.8001,13.614
0.6940,-2.0575,-12.3862,2.7870,12.861
0.6950,-2.0575,-12.3862,2.7870,12.861
0.7110,-1.7296,-11.7361,8.4864,14.586
0.7310,0.2909,-11.2698,13.2019,17.360
0.7320,1.3000,-10.6117,13.9915,17.609
0.7450,3.5713,-9.4679,14.8428,17.964
0.7610,8.2234,-6.5215,14.6671,18.035
0.7620,8.2234,-6.5215,14.6671,18.035
0.7780,12.7686,-4.2844,12.4207,18.321
0.7950,16.3523,-0.7053,9.4488,18.899
0.7960,16.3523,-0.7053,9.4488,18.899
0.8120,16.7724,1.7177,7.2387,18.348
0.8120,16.7724,1.7177,7.2387,18.348
0.8320,17.7338,4.4164,2.9999,18.520
0.8450,17.7889,5.5929,0.9232,18.670
0.8460,17.7889,5.5929,0.9232,18.670
0.8620,13.0568,7.1951,-0.2789,14.911
0.8780,10.7257,7.3923,-1.2816,13.089
0.8790,10.7257,7.3923,-1.2816,13.089
0.8960,8.4101,7.2547,-2.2942,11.341
0.9110,5.3669,7.3546,-3.6217,9.798
0.9110,5.3669,7.3546,-3.6217,9.798
0.9280,3.2026,7.5555,-4.3589,9.292
